Strain Name	Virus Species	GenBank Accession	Sequence Length	Pango Genome Lineage	Collection Date	Host	GenBank Host	Country	Mol Type
BDHEVMX08	Paslahepevirus balayani	MH991995	7204	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM089	Paslahepevirus balayani	MH991997	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM128	Paslahepevirus balayani	MH991999	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM198	Paslahepevirus balayani	MH992001	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVFP18	Paslahepevirus balayani	MH992002	7215	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM118	Paslahepevirus balayani	MH992004	7215	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM143	Paslahepevirus balayani	MH992006	7215	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVF126	Paslahepevirus balayani	MH992008	7216	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVF170	Paslahepevirus balayani	MH992010	7216	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVMX02	Paslahepevirus balayani	MH992012	7217	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
14-22707	Paslahepevirus balayani	MK089848	7255	-N/A-	2014	Human	Homo sapiens	Germany	genomic RNA
9	Paslahepevirus balayani	KY929404	7264	-N/A-	3/9/2017	Human	Homo sapiens	China	genomic RNA
CH_VW117	Paslahepevirus balayani	MG573193	7242	-N/A-	2017	Swine	pig	Switzerland	genomic RNA
ratESUMBAWA-140L	Paslahepevirus balayani	LC225389	6988	-N/A-	2010	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
swHE1606845	Paslahepevirus balayani	LC260517	7242	-N/A-	2016	Swine	Sus scrofa	Japan	genomic RNA
HE-JA14-2173	Paslahepevirus balayani	LC314155	7212	-N/A-	2014	Human	Homo sapiens	Japan	genomic RNA
HE-JA15-1335	Paslahepevirus balayani	LC314156	7212	-N/A-	2015	Human	Homo sapiens	Japan	genomic RNA
HE-JA15-1920	Paslahepevirus balayani	LC314157	7212	-N/A-	2015	Human	Homo sapiens	Japan	genomic RNA
HE-JA16-0610	Paslahepevirus balayani	LC314158	7212	-N/A-	2016	Human	Homo sapiens	Japan	genomic RNA
hGER15-0031	Paslahepevirus balayani	KU980235	7250	-N/A-	2015	Human	Homo sapiens	Germany	genomic RNA
HEVCU634	Paslahepevirus balayani	MH450021	7224	-N/A-	12/27/2017	Human	Homo sapiens	Thailand	genomic RNA
HEVF46	Paslahepevirus balayani	MH450023	7219	-N/A-	2/1/2015	Swine	Swine	Thailand	genomic RNA
HEVF385	Paslahepevirus balayani	MH450025	7219	-N/A-	6/5/2015	Swine	Swine	Thailand	genomic RNA
SWU/E4/2018	Paslahepevirus balayani	MK410045	7261	-N/A-	Mar-18	Swine	Tibetan pigs	China	genomic RNA
SWU/ZX8/2018	Paslahepevirus balayani	MK410047	7240	-N/A-	Jul-18	Swine	Tibetan pigs	China	genomic RNA
SWU/B6/2018	Paslahepevirus balayani	MK410049	7252	-N/A-	Dec-18	Swine	Tibetan pigs	China	genomic RNA
SWU/7-175/2018	Paslahepevirus balayani	MK410051	7248	-N/A-	Aug-18	Swine	Tibetan pigs	China	genomic RNA
SWU/7-173/2018	Paslahepevirus balayani	MK410053	7231	-N/A-	Aug-18	Swine	Tibetan pigs	China	genomic RNA
HEVGB40	Paslahepevirus balayani	MH450029	7219	-N/A-	2/1/2015	Swine	Swine	Thailand	genomic RNA
HEVGB144	Paslahepevirus balayani	MH450030	7219	-N/A-	3/1/2015	Swine	Swine	Thailand	genomic RNA
HEPAC-154	Paslahepevirus balayani	MF444083	7310	-N/A-	3/11/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-64	Paslahepevirus balayani	MF444119	7352	-N/A-	9/6/2010	Human	Homo sapiens	France	genomic RNA
rabbit/U46/GER/2013	Paslahepevirus balayani	MF480298	7283	-N/A-	2013	Rabbit	Oryctolagus cuniculus	Germany	genomic RNA
SWHEV75BO2012	Paslahepevirus balayani	KY766999	7130	-N/A-	2012	Swine	swine	Italy	genomic RNA
HEPAC-50	Paslahepevirus balayani	MF444055	7319	-N/A-	9/21/2009	Human	Homo sapiens	France	genomic RNA
HEPAC-28	Paslahepevirus balayani	MF444057	7274	-N/A-	2/28/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-15	Paslahepevirus balayani	MF444059	7267	-N/A-	5/22/2010	Human	Homo sapiens	France	genomic RNA
HEPAC-42	Paslahepevirus balayani	MF444061	7254	-N/A-	5/1/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-175	Paslahepevirus balayani	MF444065	7181	-N/A-	1/27/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-82	Paslahepevirus balayani	MF444067	7153	-N/A-	12/11/2007	Human	Homo sapiens	France	genomic RNA
HEPAC-182	Paslahepevirus balayani	MF444069	7285	-N/A-	8/2/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-110	Paslahepevirus balayani	MF444073	7294	-N/A-	8/24/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-75	Paslahepevirus balayani	MF444076	7268	-N/A-	12/17/2012	Human	Homo sapiens	France	genomic RNA
HEPAC-31	Paslahepevirus balayani	MF444078	7273	-N/A-	7/19/2007	Human	Homo sapiens	France	genomic RNA
HEPAC-65	Paslahepevirus balayani	MF444082	7268	-N/A-	1/19/2006	Human	Homo sapiens	France	genomic RNA
HEPAC-83	Paslahepevirus balayani	MF444085	7275	-N/A-	11/3/2009	Human	Homo sapiens	France	genomic RNA
HEPAC-46	Paslahepevirus balayani	MF444088	7333	-N/A-	1/18/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-169	Paslahepevirus balayani	MF444090	7312	-N/A-	9/21/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-183	Paslahepevirus balayani	MF444092	7283	-N/A-	8/5/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-29	Paslahepevirus balayani	MF444093	7256	-N/A-	1/22/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-70	Paslahepevirus balayani	MF444095	7285	-N/A-	6/6/2007	Human	Homo sapiens	France	genomic RNA
HEPAC-43	Paslahepevirus balayani	MF444097	7262	-N/A-	9/11/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-84	Paslahepevirus balayani	MF444100	7252	-N/A-	8/27/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-22	Paslahepevirus balayani	MF444102	7260	-N/A-	5/6/2009	Human	Homo sapiens	France	genomic RNA
HEPAC-71	Paslahepevirus balayani	MF444104	7168	-N/A-	7/2/2009	Human	Homo sapiens	France	genomic RNA
HEPAC-165	Paslahepevirus balayani	MF444106	7202	-N/A-	5/19/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-85	Paslahepevirus balayani	MF444107	7263	-N/A-	10/15/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-62	Paslahepevirus balayani	MF444109	7192	-N/A-	5/2/2012	Human	Homo sapiens	France	genomic RNA
HEPAC-172	Paslahepevirus balayani	MF444111	7191	-N/A-	10/5/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-19	Paslahepevirus balayani	MF444136	7183	-N/A-	6/11/2012	Human	Homo sapiens	France	genomic RNA
XTLSEDU1	Paslahepevirus balayani	MF444028	7227	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
XTLSEGIR	Paslahepevirus balayani	MF444030	7235	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
HEPAC-1	Paslahepevirus balayani	MF444032	7197	-N/A-	7/31/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-178	Paslahepevirus balayani	MF444035	7267	-N/A-	3/9/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-52	Paslahepevirus balayani	MF444037	7220	-N/A-	4/9/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-86	Paslahepevirus balayani	MF444113	7193	-N/A-	3/24/2010	Human	Homo sapiens	France	genomic RNA
HEPAC-44	Paslahepevirus balayani	MF444115	7176	-N/A-	9/17/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-174	Paslahepevirus balayani	MF444117	7288	-N/A-	1/6/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-56	Paslahepevirus balayani	MF444120	7197	-N/A-	9/18/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-173	Paslahepevirus balayani	MF444122	7205	-N/A-	9/28/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-163	Paslahepevirus balayani	MF444123	7324	-N/A-	3/17/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-122	Paslahepevirus balayani	MF444125	7265	-N/A-	3/13/2012	Human	Homo sapiens	France	genomic RNA
JMNG36-Oki08	Paslahepevirus balayani	AB591734	7249	-N/A-	2/8/2008	-N/A-	Herpestes javanicus	Japan	genomic RNA
BcHEV-GP	Paslahepevirus balayani	MH410174	7239	-N/A-	2017	Camel	Camelus bactrianus	China	genomic RNA
M2	Paslahepevirus balayani	MH410176	7239	-N/A-	2017	Macaque	Macaca fascicularis	China	genomic RNA
17RS2551-4	Paslahepevirus balayani	MK390970	7210	-N/A-	6/9/2017	Boar	wild boar	Italy	genomic RNA
HEV_40_Bedford_UK_130115	Paslahepevirus balayani	MH504124	7237	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_38_Surrey_UK_090115	Paslahepevirus balayani	MH504126	7236	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_36_Brighton_UK_070115	Paslahepevirus balayani	MH504128	7231	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_34_Newcastle_UK_221214	Paslahepevirus balayani	MH504130	7206	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_31_Oxford_UK_051214	Paslahepevirus balayani	MH504133	7229	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_28_Gloucester_UK_251114	Paslahepevirus balayani	MH504136	7218	-N/A-	Nov-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_26_Oldham_UK_131114	Paslahepevirus balayani	MH504138	7237	-N/A-	Nov-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_25_Gloucester_UK_271214	Paslahepevirus balayani	MH504139	7230	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_23_Portsmouth_UK_171214	Paslahepevirus balayani	MH504141	7222	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_21_Derby_UK_031114	Paslahepevirus balayani	MH504143	7234	-N/A-	Nov-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_18_Chichester_UK_300914	Paslahepevirus balayani	MH504146	7241	-N/A-	Sep-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_16_Bristol_UK_180814	Paslahepevirus balayani	MH504148	7222	-N/A-	Aug-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_14_South_Sheilds_UK_130914	Paslahepevirus balayani	MH504150	7236	-N/A-	Sep-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_13_Swansea_UK_210814	Paslahepevirus balayani	MH504151	7216	-N/A-	Aug-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_11_Torquay_UK_NA	Paslahepevirus balayani	MH504153	7232	-N/A-	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_9_Brighton_UK_221214	Paslahepevirus balayani	MH504155	7189	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_7_London_UK_210614	Paslahepevirus balayani	MH504157	7184	-N/A-	Jun-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_5_Surrey_UK_230414	Paslahepevirus balayani	MH504159	7187	-N/A-	Apr-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_3_Exeter_UK_180414	Paslahepevirus balayani	MH504161	7194	-N/A-	Apr-14	Human	Homo sapiens	United Kingdom	genomic RNA
WB/HEV/NA17ITA15	Paslahepevirus balayani	MF959764	7206	-N/A-	2015	Boar	wild boar	Italy	genomic RNA
rJB-D54	Paslahepevirus balayani	LC439299	7239	-N/A-	-N/A-	-N/A-	Sus scrofa domesticus	Japan	genomic RNA
DLS13-11677	Paslahepevirus balayani	MG783569	7237	-N/A-	2012	Unknown	-N/A-	France	genomic RNA
DLS13-11685	Paslahepevirus balayani	MG783571	7208	-N/A-	2012	Unknown	-N/A-	France	genomic RNA
swHLJ-BXBX	Paslahepevirus balayani	KX827238	7255	-N/A-	2015	Swine	swine	China	genomic RNA
SW8a24_Spain	Paslahepevirus balayani	KT581448	7317	-N/A-	-N/A-	Swine	swine	Spain	genomic RNA
SW1_3-Uppsala	Paslahepevirus balayani	KT581443	7214	-N/A-	-N/A-	Swine	swine	Sweden	genomic RNA
SW3_6-Uppsala	Paslahepevirus balayani	KT581444	7225	-N/A-	-N/A-	Swine	swine	Sweden	genomic RNA
WB193-Halland	Paslahepevirus balayani	KT581446	7200	-N/A-	-N/A-	Boar	wild boar	Sweden	genomic RNA
NG/17-0503	Paslahepevirus balayani	MH918640	7202	-N/A-	2017	Human	Homo sapiens	Nigeria	genomic RNA
LCK-3110	Paslahepevirus balayani	MG813927	6942	-N/A-	8/31/2017	Rat	Rattus sp.	Hong Kong	genomic RNA
TH-hu-S45-1	Paslahepevirus balayani	KY232312	7235	-N/A-	5/23/2014	Human	Homo sapiens	Thailand	genomic RNA
HEV_006_2	Paslahepevirus balayani	MH184580	7310	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
HEV_090	Paslahepevirus balayani	MH184582	7159	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
HEV_557	Paslahepevirus balayani	MH184584	7219	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
SW62-BD71	Paslahepevirus balayani	MH377721	7288	-N/A-	2010	Human	Homo sapiens	Sweden	genomic RNA
SW66-BD88	Paslahepevirus balayani	MH377723	7288	-N/A-	2011	Human	Homo sapiens	Sweden	genomic RNA
SW39-14515	Paslahepevirus balayani	MH377726	7291	-N/A-	2012	Human	Homo sapiens	Sweden	genomic RNA
JKN-Sap	Paslahepevirus balayani	AB074918	7256	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JKK-Sap	Paslahepevirus balayani	AB074917	7235	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JSM-Sap95	Paslahepevirus balayani	AB161717	7202	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JTS-Sap02	Paslahepevirus balayani	AB161718	7202	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
HEVN1	Paslahepevirus balayani	AB246676	7231	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
HE-JA04-1911	Paslahepevirus balayani	AB248520	7280	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
swJ12-4	Paslahepevirus balayani	AB248522	7241	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
HEVN2	Paslahepevirus balayani	AB253420	7253	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
F19	Paslahepevirus balayani	MN614429	7239	-N/A-	1/25/2019	Swine	swine	South Korea	genomic RNA
JBOAR1-Hyo04	Paslahepevirus balayani	AB189070	7247	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JDEER-Hyo03L	Paslahepevirus balayani	AB189071	7230	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
UNKNOWN-AB290312	Paslahepevirus balayani	AB290312	7237	-N/A-	2006	Unknown	-N/A-	Mongolia	genomic RNA
UNKNOWN-AB290313	Paslahepevirus balayani	AB290313	7239	-N/A-	2006	Unknown	-N/A-	Mongolia	genomic RNA
JIO-Sai97L	Paslahepevirus balayani	AB291951	7215	-N/A-	4/29/1997	Unknown	-N/A-	Japan	genomic RNA
JIY-Tot05L	Paslahepevirus balayani	AB291952	7215	-N/A-	6/24/2005	Unknown	-N/A-	Japan	genomic RNA
JSO-Oki05L	Paslahepevirus balayani	AB291953	7215	-N/A-	7/31/2005	Unknown	-N/A-	Japan	genomic RNA
JSS-Oka04L	Paslahepevirus balayani	AB291954	7215	-N/A-	12/24/2004	Unknown	-N/A-	Japan	genomic RNA
JSW-Kyo-FH06L	Paslahepevirus balayani	AB291955	7215	-N/A-	9/5/2006	Unknown	-N/A-	Japan	genomic RNA
JYM-Tot04L	Paslahepevirus balayani	AB291956	7215	-N/A-	1/19/2004	Unknown	-N/A-	Japan	genomic RNA
JYU-Oki04L	Paslahepevirus balayani	AB291957	7215	-N/A-	5/18/2004	Unknown	-N/A-	Japan	genomic RNA
JNH-Ehi04L	Paslahepevirus balayani	AB291958	7168	-N/A-	6/17/2004	Unknown	-N/A-	Japan	genomic RNA
JTC-Kit-FH04L	Paslahepevirus balayani	AB291959	7209	-N/A-	9/24/2004	Unknown	-N/A-	Japan	genomic RNA
JMO-Hyo03L	Paslahepevirus balayani	AB189072	7180	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JSO-Hyo03L	Paslahepevirus balayani	AB189073	7180	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JTH-Hyo03L	Paslahepevirus balayani	AB189074	7180	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JYO-Hyo03L	Paslahepevirus balayani	AB189075	7180	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JMH-Osa04C	Paslahepevirus balayani	AB291961	7241	-N/A-	3/10/2004	Unknown	-N/A-	Japan	genomic RNA
JHK-Toy04C	Paslahepevirus balayani	AB291962	7236	-N/A-	6/16/2004	Unknown	-N/A-	Japan	genomic RNA
JRM-Toy05C	Paslahepevirus balayani	AB291963	7236	-N/A-	11/28/2005	Unknown	-N/A-	Japan	genomic RNA
JYK-Tok03C	Paslahepevirus balayani	AB291964	7244	-N/A-	6/9/2003	Unknown	-N/A-	Japan	genomic RNA
HRC-HE14C	Paslahepevirus balayani	AB291965	7255	-N/A-	9/20/2004	Unknown	-N/A-	Japan	genomic RNA
JST-KitAsa04C	Paslahepevirus balayani	AB291966	7255	-N/A-	10/12/2004	Unknown	-N/A-	Japan	genomic RNA
JKO-Aba-FH06C	Paslahepevirus balayani	AB291967	7255	-N/A-	3/10/2006	Unknown	-N/A-	Japan	genomic RNA
JMM-Aba06C	Paslahepevirus balayani	AB291968	7255	-N/A-	3/9/2006	Unknown	-N/A-	Japan	genomic RNA
HE-JA10	Paslahepevirus balayani	AB089824	7262	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
wbJSG1	Paslahepevirus balayani	AB222182	7240	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
wbJTS1	Paslahepevirus balayani	AB222183	7241	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JMNG-Oki02C	Paslahepevirus balayani	AB236320	7236	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
HRC-HE58	Paslahepevirus balayani	LC387632	7251	-N/A-	Feb-06	Human	Homo sapiens	Japan	genomic RNA
Rat HEV577	Paslahepevirus balayani	LC549184	7002	-N/A-	4/18/2012	Rat	Rattus norvegicus	China	genomic RNA
S1129	Paslahepevirus balayani	LC549186	6989	-N/A-	9/20/2012	Shrew	Suncus murinus	China	genomic RNA
S1129c1	Paslahepevirus balayani	LC549187	6980	-N/A-	5/25/2015	Unknown	-N/A-	China	genomic RNA
BcHEV-MNG140	Paslahepevirus balayani	LC597024	7242	-N/A-	11/14/2019	Camel	Camelus bactrianus	Mongolia	genomic RNA
BcHEV-MNG146	Paslahepevirus balayani	LC597025	7242	-N/A-	11/14/2019	Camel	Camelus bactrianus	Mongolia	genomic RNA
common vole/KS_10_1641/GER/2009	Paslahepevirus balayani	MK192405	7019	-N/A-	2009	Vole	Microtus arvalis	Germany	genomic RNA
common vole/KS_10_2645/GER/2010	Paslahepevirus balayani	MK192406	7034	-N/A-	2010	Vole	Microtus arvalis	Germany	genomic RNA
common vole/KS_11_746/CZE/2010	Paslahepevirus balayani	MK192408	7040	-N/A-	2010	Vole	Microtus arvalis	Czech Republic	genomic RNA
BOU-G3	Paslahepevirus balayani	MN401237	7232	-N/A-	10/2/2017	Human	Homo sapiens	France	genomic RNA
HEV0069_culture	Paslahepevirus balayani	MN614141	7232	-N/A-	Oct-10	Human	Homo sapiens	Netherlands	genomic RNA
VHP6	Paslahepevirus balayani	MN646689	7307	-N/A-	2004	Human	Homo sapiens	France	genomic RNA
HEPAC-12	Paslahepevirus balayani	MN646691	7345	-N/A-	2011	Human	Homo sapiens	France	genomic RNA
HEPAC-94	Paslahepevirus balayani	MN646693	7424	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
HEPAC-93	Paslahepevirus balayani	MN646695	7341	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
VHP6	Paslahepevirus balayani	MN646696	7306	-N/A-	2004	Human	Homo sapiens	France	genomic RNA
Charite956/DEU/2009	Paslahepevirus balayani	MN735216	7215	-N/A-	2009	Human	Homo sapiens	Germany	genomic RNA
HESQL130	Paslahepevirus balayani	MW355227	7176	-N/A-	5/10/2017	Unknown	-N/A-	France	genomic RNA
HESQL013	Paslahepevirus balayani	MW355243	7194	-N/A-	7/12/2018	Unknown	-N/A-	France	genomic RNA
HESQL035	Paslahepevirus balayani	MW355271	7163	-N/A-	12/12/2018	Unknown	-N/A-	France	genomic RNA
HESQL090	Paslahepevirus balayani	MW355289	7332	-N/A-	10/10/2018	Unknown	-N/A-	France	genomic RNA
HESQL080	Paslahepevirus balayani	MW355306	7266	-N/A-	2/5/2019	Unknown	-N/A-	France	genomic RNA
HESQL051	Paslahepevirus balayani	MW355322	7259	-N/A-	4/20/2017	Unknown	-N/A-	France	genomic RNA
HESQL042	Paslahepevirus balayani	MW355339	7291	-N/A-	2/12/2019	Unknown	-N/A-	France	genomic RNA
HESQL101	Paslahepevirus balayani	MW355351	7321	-N/A-	3/28/2017	Unknown	-N/A-	France	genomic RNA
HESQL111	Paslahepevirus balayani	MW355368	7215	-N/A-	1/8/2019	Unknown	-N/A-	France	genomic RNA
HESQL180	Paslahepevirus balayani	MW355384	7251	-N/A-	4/29/2019	Unknown	-N/A-	France	genomic RNA
HESQL066	Paslahepevirus balayani	MW355401	7207	-N/A-	3/14/2017	Unknown	-N/A-	France	genomic RNA
huJB-0326	Paslahepevirus balayani	LC386855	7230	-N/A-	6/14/2015	Human	Homo sapiens	Japan	genomic RNA
178C	Paslahepevirus balayani	KJ496143	7224	-N/A-	2/11/2013	Camel	Camelus dromedarius	United Arab Emirates	genomic RNA
Japan59	Paslahepevirus balayani	LC535077	7297	-N/A-	-N/A-	Rabbit	Oryctolagus cuniculus	Japan	genomic RNA
HE-JI4	Paslahepevirus balayani	AB080575	7186	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JAO-Gif12	Paslahepevirus balayani	AB909124	7214	-N/A-	10/16/2012	Human	Homo sapiens	Japan	viral cRNA
JKK-Shiz13	Paslahepevirus balayani	AB909125	7214	-N/A-	2/12/2013	Human	Homo sapiens	Japan	viral cRNA
Meng	Paslahepevirus balayani	AF082843	7207	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
HEV/Gt3/81236/Wolf/2019/ITA	Paslahepevirus balayani	MZ463196	7212	-N/A-	2019	Wolf	wolf	Italy	genomic RNA
JRA1	Paslahepevirus balayani	AP003430	7230	-N/A-	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA
HEVNE8L	Paslahepevirus balayani	D10330	7194	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
UNKNOWN-D11092	Paslahepevirus balayani	D11092	7207	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
Uigh179	Paslahepevirus balayani	D11093	7194	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
HE-JA30	Paslahepevirus balayani	LC022745	7252	-N/A-	2003	Human	Homo sapiens	Japan	genomic RNA
MNE13-227	Paslahepevirus balayani	LC037955	7258	-N/A-	2013	Human	Homo sapiens	Mongolia	genomic RNA
CF4370	Paslahepevirus balayani	LC057248	6852	-N/A-	8/8/2014	Unknown	-N/A-	Japan	genomic RNA
JYW-Sap02	Paslahepevirus balayani	AB161719	7202	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
wbJYG1	Paslahepevirus balayani	AB222184	7240	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JTK-Kag06C	Paslahepevirus balayani	AB291960	7236	-N/A-	3/23/2006	Unknown	-N/A-	Japan	genomic RNA
Rat HEV324	Paslahepevirus balayani	LC549185	6961	-N/A-	1/12/2012	Rat	Rattus losea	China	genomic RNA
swJ8-5	Paslahepevirus balayani	AB248521	7241	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
JTS-Kit05L	Paslahepevirus balayani	LC406631	7155	-N/A-	2005	Human	Homo sapiens	Japan	genomic RNA
JTS-Tok09L	Paslahepevirus balayani	LC406632	7221	-N/A-	11/5/2009	Human	Homo sapiens	Japan	genomic RNA
JTS2-Tok15L	Paslahepevirus balayani	LC406633	7198	-N/A-	10/19/2015	Human	Homo sapiens	Japan	genomic RNA
JTT-Hak14C	Paslahepevirus balayani	LC406634	7254	-N/A-	6/30/2014	Human	Homo sapiens	Japan	genomic RNA
JTT-Tok14L	Paslahepevirus balayani	LC406635	7075	-N/A-	1/25/2014	Human	Homo sapiens	Japan	genomic RNA
JTT-Tom12L	Paslahepevirus balayani	LC406636	7218	-N/A-	2/16/2012	Human	Homo sapiens	Japan	genomic RNA
JTU-Nar03L	Paslahepevirus balayani	LC406637	7217	-N/A-	4/2/1999	Human	Homo sapiens	Japan	genomic RNA
JTU-Sap09L	Paslahepevirus balayani	LC406638	7192	-N/A-	10/7/2009	Human	Homo sapiens	Japan	genomic RNA
JTU-Sap16L	Paslahepevirus balayani	LC406639	7213	-N/A-	12/18/2016	Human	Homo sapiens	Japan	genomic RNA
JTU2-Sap09L	Paslahepevirus balayani	LC406640	7108	-N/A-	10/21/2009	Human	Homo sapiens	Japan	genomic RNA
JTY-Kit10L	Paslahepevirus balayani	LC406641	7232	-N/A-	1/29/2010	Human	Homo sapiens	Japan	genomic RNA
JTY-Kit15L	Paslahepevirus balayani	LC406642	7228	-N/A-	12/16/2014	Human	Homo sapiens	Japan	genomic RNA
JWS-Sai00L	Paslahepevirus balayani	LC406643	7219	-N/A-	10/20/2000	Human	Homo sapiens	Japan	genomic RNA
JXX-Fukuo17L	Paslahepevirus balayani	LC406644	7119	-N/A-	2/22/2017	Human	Homo sapiens	Japan	genomic RNA
JXX-Gif17L	Paslahepevirus balayani	LC406645	7213	-N/A-	3/31/2017	Human	Homo sapiens	Japan	genomic RNA
JSI-Tok13L	Paslahepevirus balayani	LC406646	7067	-N/A-	3/13/2013	Human	Homo sapiens	Japan	genomic RNA
BeSW67HEV4-2008	Paslahepevirus balayani	OM388298	7229	-N/A-	-N/A-	Swine	swine	Belgium	genomic RNA
FCME-2016-rab81	Paslahepevirus balayani	MT920909	7233	-N/A-	2016	Rabbit	Oryctolagus cuniculus	Germany	genomic RNA
TE1380	Paslahepevirus balayani	LC603639	7238	-N/A-	8/12/2020	Swine	Sus scrofa	Taiwan	genomic RNA
deJOI_14	Paslahepevirus balayani	LC651410	7245	-N/A-	5/25/2014	Unknown	Cervus nippon (wild sika deer)	Japan	genomic RNA
